# G(2) Function
# 2025-11-20 17:23:44
# Histogram Width = 10 ns
# Events Ch. 0 = 2.178e+07 
# Events Ch. 1 = 2.286e+07 
# Integr. Time = 46.9 s
# G(2) Norm = 106.2 
# Fit Function = None
# Fit - A = 0 
# Fit - c = 0 ps
# Fit - B = 0 
# Fit - T_a = 0 ps
# Fit - p_f^2 = 0 
# Fit - c = 0 
# Fit - T_b = 0 ps
# Fit - T_a = 0 ps
# Unit dt: s
# Unit G(2): 1
# dt ; G(2)
-8.7781036E-009 ;  1.1398020E+000
-8.7683284E-009 ;  1.0173440E+000
-8.7585533E-009 ;  9.2314500E-001
-8.7487781E-009 ;  1.0173440E+000
-8.7390029E-009 ;  1.0456040E+000
-8.7292278E-009 ;  9.8908400E-001
-8.7194526E-009 ;  9.7024500E-001
-8.7096774E-009 ;  1.1398020E+000
-8.6999022E-009 ;  9.1372600E-001
-8.6901271E-009 ;  7.8184800E-001
-8.6803519E-009 ;  1.0267640E+000
-8.6705767E-009 ;  9.1372600E-001
-8.6608016E-009 ;  8.8546600E-001
-8.6510264E-009 ;  9.1372600E-001
-8.6412512E-009 ;  1.1586420E+000
-8.6314761E-009 ;  1.0079240E+000
-8.6217009E-009 ;  1.0267640E+000
-8.6119257E-009 ;  1.0644430E+000
-8.6021505E-009 ;  8.3836700E-001
-8.5923754E-009 ;  8.1010700E-001
-8.5826002E-009 ;  8.3836700E-001
-8.5728250E-009 ;  1.0267640E+000
-8.5630499E-009 ;  1.0173440E+000
-8.5532747E-009 ;  1.0079240E+000
-8.5434995E-009 ;  1.1492220E+000
-8.5337243E-009 ;  9.2314500E-001
-8.5239492E-009 ;  9.4198500E-001
-8.5141740E-009 ;  1.0456040E+000
-8.5043988E-009 ;  1.0832830E+000
-8.4946237E-009 ;  1.1021230E+000
-8.4848485E-009 ;  8.4778700E-001
-8.4750733E-009 ;  1.0456040E+000
-8.4652981E-009 ;  9.7966500E-001
-8.4555230E-009 ;  1.0456040E+000
-8.4457478E-009 ;  1.0173440E+000
-8.4359726E-009 ;  9.1372600E-001
-8.4261975E-009 ;  1.1398020E+000
-8.4164223E-009 ;  1.0267640E+000
-8.4066471E-009 ;  1.1680620E+000
-8.3968719E-009 ;  9.7966500E-001
-8.3870968E-009 ;  9.9850400E-001
-8.3773216E-009 ;  1.0361840E+000
-8.3675464E-009 ;  1.0644430E+000
-8.3577713E-009 ;  9.7966500E-001
-8.3479961E-009 ;  9.7966500E-001
-8.3382209E-009 ;  1.0267640E+000
-8.3284457E-009 ;  1.0173440E+000
-8.3186706E-009 ;  1.0361840E+000
-8.3088954E-009 ;  8.1010700E-001
-8.2991202E-009 ;  9.4198500E-001
-8.2893451E-009 ;  9.3256500E-001
-8.2795699E-009 ;  9.9850400E-001
-8.2697947E-009 ;  9.2314500E-001
-8.2600196E-009 ;  9.4198500E-001
-8.2502444E-009 ;  9.8908400E-001
-8.2404692E-009 ;  9.4198500E-001
-8.2306940E-009 ;  8.8546600E-001
-8.2209189E-009 ;  9.8908400E-001
-8.2111437E-009 ;  9.6082500E-001
-8.2013685E-009 ;  8.1952700E-001
-8.1915934E-009 ;  1.0644430E+000
-8.1818182E-009 ;  9.9850400E-001
-8.1720430E-009 ;  1.0361840E+000
-8.1622678E-009 ;  1.1209620E+000
-8.1524927E-009 ;  9.7966500E-001
-8.1427175E-009 ;  8.1952700E-001
-8.1329423E-009 ;  1.1398020E+000
-8.1231672E-009 ;  9.1372600E-001
-8.1133920E-009 ;  9.6082500E-001
-8.1036168E-009 ;  1.1963210E+000
-8.0938416E-009 ;  1.1209620E+000
-8.0840665E-009 ;  9.7024500E-001
-8.0742913E-009 ;  9.4198500E-001
-8.0645161E-009 ;  1.0927030E+000
-8.0547410E-009 ;  1.1398020E+000
-8.0449658E-009 ;  1.1115420E+000
-8.0351906E-009 ;  1.0079240E+000
-8.0254154E-009 ;  7.6300800E-001
-8.0156403E-009 ;  8.9488600E-001
-8.0058651E-009 ;  9.9850400E-001
-7.9960899E-009 ;  9.8908400E-001
-7.9863148E-009 ;  9.4198500E-001
-7.9765396E-009 ;  9.0430600E-001
-7.9667644E-009 ;  1.0927030E+000
-7.9569892E-009 ;  9.0430600E-001
-7.9472141E-009 ;  9.7966500E-001
-7.9374389E-009 ;  8.1952700E-001
-7.9276637E-009 ;  1.1209620E+000
-7.9178886E-009 ;  9.6082500E-001
-7.9081134E-009 ;  8.7604600E-001
-7.8983382E-009 ;  8.3836700E-001
-7.8885630E-009 ;  9.7024500E-001
-7.8787879E-009 ;  9.3256500E-001
-7.8690127E-009 ;  9.7024500E-001
-7.8592375E-009 ;  9.6082500E-001
-7.8494624E-009 ;  1.2151610E+000
-7.8396872E-009 ;  8.8546600E-001
-7.8299120E-009 ;  1.1680620E+000
-7.8201369E-009 ;  9.9850400E-001
-7.8103617E-009 ;  8.6662600E-001
-7.8005865E-009 ;  1.1492220E+000
-7.7908113E-009 ;  1.0079240E+000
-7.7810362E-009 ;  9.1372600E-001
-7.7712610E-009 ;  1.3658790E+000
-7.7614858E-009 ;  1.0361840E+000
-7.7517107E-009 ;  8.9488600E-001
-7.7419355E-009 ;  1.0738630E+000
