# G(2) Function
# 2025-11-20 16:08:26
# Histogram Width = 10 ns
# Events Ch. 0 = 8.97e+07 
# Events Ch. 1 = 8.287e+07 
# Integr. Time = 00:02:46 h
# G(2) Norm = 445.7 
# Fit Function = None
# Fit - A = 0 
# Fit - c = 0 ps
# Fit - B = 0 
# Fit - T_a = 0 ps
# Fit - p_f^2 = 0 
# Fit - c = 0 
# Fit - T_b = 0 ps
# Fit - T_a = 0 ps
# Unit dt: s
# Unit G(2): 1
# dt ; G(2)
-8.3284457E-009 ;  9.6024900E-001
-8.3186706E-009 ;  9.8044200E-001
-8.3088954E-009 ;  1.0298000E+000
-8.2991202E-009 ;  9.5127500E-001
-8.2893451E-009 ;  1.0006340E+000
-8.2795699E-009 ;  9.7595400E-001
-8.2697947E-009 ;  1.0724280E+000
-8.2600196E-009 ;  9.7595400E-001
-8.2502444E-009 ;  9.6024900E-001
-8.2404692E-009 ;  1.0208260E+000
-8.2306940E-009 ;  9.4005700E-001
-8.2209189E-009 ;  9.4230100E-001
-8.2111437E-009 ;  1.0185820E+000
-8.2013685E-009 ;  1.0903770E+000
-8.1915934E-009 ;  1.0814020E+000
-8.1818182E-009 ;  1.0365310E+000
-8.1720430E-009 ;  9.4903200E-001
-8.1622678E-009 ;  9.5576200E-001
-8.1524927E-009 ;  8.9294200E-001
-8.1427175E-009 ;  9.8268500E-001
-8.1329423E-009 ;  1.0230690E+000
-8.1231672E-009 ;  1.0791590E+000
-8.1133920E-009 ;  9.1313400E-001
-8.1036168E-009 ;  9.6922400E-001
-8.0938416E-009 ;  1.0342870E+000
-8.0840665E-009 ;  1.0208260E+000
-8.0742913E-009 ;  9.5800600E-001
-8.0645161E-009 ;  9.1089100E-001
-8.0547410E-009 ;  9.7819800E-001
-8.0449658E-009 ;  1.0365310E+000
-8.0351906E-009 ;  1.0006340E+000
-8.0254154E-009 ;  9.6922400E-001
-8.0156403E-009 ;  9.6249300E-001
-8.0058651E-009 ;  9.3332700E-001
-7.9960899E-009 ;  1.0724280E+000
-7.9863148E-009 ;  9.8268500E-001
-7.9765396E-009 ;  1.0477490E+000
-7.9667644E-009 ;  9.4005700E-001
-7.9569892E-009 ;  9.6249300E-001
-7.9472141E-009 ;  1.0612100E+000
-7.9374389E-009 ;  9.3108300E-001
-7.9276637E-009 ;  1.0006340E+000
-7.9178886E-009 ;  9.7819800E-001
-7.9081134E-009 ;  1.0814020E+000
-7.8983382E-009 ;  9.1986500E-001
-7.8885630E-009 ;  9.8268500E-001
-7.8787879E-009 ;  9.3108300E-001
-7.8690127E-009 ;  9.9614700E-001
-7.8592375E-009 ;  1.0298000E+000
-7.8494624E-009 ;  1.0096080E+000
-7.8396872E-009 ;  1.0140950E+000
-7.8299120E-009 ;  1.0253130E+000
-7.8201369E-009 ;  9.5800600E-001
-7.8103617E-009 ;  9.4230100E-001
-7.8005865E-009 ;  1.0140950E+000
-7.7908113E-009 ;  9.5800600E-001
-7.7810362E-009 ;  9.7371100E-001
-7.7712610E-009 ;  9.6473700E-001
-7.7614858E-009 ;  9.6473700E-001
-7.7517107E-009 ;  9.4903200E-001
-7.7419355E-009 ;  8.9069900E-001
-7.7321603E-009 ;  9.5576200E-001
-7.7223851E-009 ;  9.6473700E-001
-7.7126100E-009 ;  9.7595400E-001
-7.7028348E-009 ;  1.0073640E+000
-7.6930596E-009 ;  8.9069900E-001
-7.6832845E-009 ;  1.0410180E+000
-7.6735093E-009 ;  1.0656970E+000
-7.6637341E-009 ;  1.0230690E+000
-7.6539589E-009 ;  1.0253130E+000
-7.6441838E-009 ;  9.1089100E-001
-7.6344086E-009 ;  1.1285180E+000
-7.6246334E-009 ;  1.0926200E+000
-7.6148583E-009 ;  9.6024900E-001
-7.6050831E-009 ;  9.5351900E-001
-7.5953079E-009 ;  9.6698000E-001
-7.5855327E-009 ;  1.0544800E+000
-7.5757576E-009 ;  1.0073640E+000
-7.5659824E-009 ;  9.3557000E-001
-7.5562072E-009 ;  1.0051210E+000
-7.5464321E-009 ;  9.8717200E-001
-7.5366569E-009 ;  1.0836460E+000
-7.5268817E-009 ;  9.2659600E-001
-7.5171065E-009 ;  9.9614700E-001
-7.5073314E-009 ;  1.0185820E+000
-7.4975562E-009 ;  9.9839000E-001
-7.4877810E-009 ;  9.7819800E-001
-7.4780059E-009 ;  1.0993510E+000
-7.4682307E-009 ;  9.3332700E-001
-7.4584555E-009 ;  9.6922400E-001
-7.4486804E-009 ;  1.0342870E+000
-7.4389052E-009 ;  9.8717200E-001
-7.4291300E-009 ;  1.0096080E+000
-7.4193548E-009 ;  9.3108300E-001
-7.4095797E-009 ;  9.2435200E-001
-7.3998045E-009 ;  1.0342870E+000
-7.3900293E-009 ;  8.8621100E-001
-7.3802542E-009 ;  1.0140950E+000
-7.3704790E-009 ;  1.0096080E+000
-7.3607038E-009 ;  9.1313400E-001
-7.3509286E-009 ;  9.9390300E-001
-7.3411535E-009 ;  9.6698000E-001
-7.3313783E-009 ;  1.0387750E+000
-7.3216031E-009 ;  9.9165900E-001
-7.3118280E-009 ;  9.8492900E-001
-7.3020528E-009 ;  9.4678800E-001
-7.2922776E-009 ;  9.2210900E-001
-7.2825024E-009 ;  9.5800600E-001
-7.2727273E-009 ;  1.0858900E+000
-7.2629521E-009 ;  9.8941600E-001
-7.2531769E-009 ;  9.9390300E-001
-7.2434018E-009 ;  9.8941600E-001
-7.2336266E-009 ;  9.7146700E-001
